run_id,experiment,strategy,isolation_level,mode,concurrency,accounts,max_streams,race_delay_ms,granted,rejected,retries,deadlocks,lock_timeouts,errors,violations,p50_ms,p95_ms,throughput_rps,wall_ms,batch_id,trial,final_count
3806,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,0,0,0,0,49,25.74,26.16,1831.85,27.29,52871cd8-c451-4417-b658-135e85f7adb5,5,1
3807,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,0,0,0,0,0,2.83,5.14,1794.61,5.57,52871cd8-c451-4417-b658-135e85f7adb5,1,10
3808,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,0,0,0,0,0,2.52,4.67,1978.27,5.05,52871cd8-c451-4417-b658-135e85f7adb5,2,10
3809,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,0,0,0,0,0,2.49,4.79,1937.58,5.16,52871cd8-c451-4417-b658-135e85f7adb5,3,10
3810,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,0,0,0,0,0,2.66,4.88,1925.59,5.19,52871cd8-c451-4417-b658-135e85f7adb5,4,10
3811,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,0,0,0,0,0,2.19,4.07,2223.5,4.5,52871cd8-c451-4417-b658-135e85f7adb5,5,10
3812,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,0,0,0,0,0,2.88,4.89,1899.29,5.27,52871cd8-c451-4417-b658-135e85f7adb5,1,10
3813,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,0,0,0,0,0,2.21,4.57,2043.49,4.89,52871cd8-c451-4417-b658-135e85f7adb5,2,10
3814,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,0,0,0,0,0,2.32,4.11,2314.3,4.32,52871cd8-c451-4417-b658-135e85f7adb5,3,10
3815,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,0,0,0,0,0,2.01,4.09,2284.78,4.38,52871cd8-c451-4417-b658-135e85f7adb5,4,10
3816,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,0,0,0,0,0,2.01,3.88,2387.56,4.19,52871cd8-c451-4417-b658-135e85f7adb5,5,10
3817,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,0,0,0,0,0,10.77,19.75,2311.09,21.63,52871cd8-c451-4417-b658-135e85f7adb5,1,50
3818,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,0,0,0,0,0,10.93,19.69,2329.98,21.46,52871cd8-c451-4417-b658-135e85f7adb5,2,50
3819,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,0,0,0,0,0,11.12,19.71,2293.47,21.8,52871cd8-c451-4417-b658-135e85f7adb5,3,50
3820,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,0,0,0,0,0,10.92,19.66,2243.88,22.28,52871cd8-c451-4417-b658-135e85f7adb5,4,50
3821,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,0,0,0,0,0,11.65,21.37,2151.01,23.24,52871cd8-c451-4417-b658-135e85f7adb5,5,50
3822,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,0,0,0,0,0,10.51,19.28,2384.24,20.97,52871cd8-c451-4417-b658-135e85f7adb5,1,50
3823,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,0,0,0,0,0,10.4,19.71,2298.97,21.75,52871cd8-c451-4417-b658-135e85f7adb5,2,50
3824,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,0,0,0,0,0,10.66,20.17,2283.46,21.9,52871cd8-c451-4417-b658-135e85f7adb5,3,50
3825,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,0,0,0,0,0,11.5,20.42,2232.88,22.39,52871cd8-c451-4417-b658-135e85f7adb5,4,50
3826,LOST_UPDATE,ATOMIC,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,0,0,0,0,0,11.25,20.24,2254.06,22.18,52871cd8-c451-4417-b658-135e85f7adb5,5,50
3827,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,10,1,1,0,10,0,0,0,0,0,0,4.83,8.61,1079.12,9.27,52871cd8-c451-4417-b658-135e85f7adb5,1,10
3828,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,10,1,1,0,10,0,0,0,0,0,0,4.36,8.11,1176.63,8.5,52871cd8-c451-4417-b658-135e85f7adb5,2,10
3829,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,10,1,1,0,10,0,0,0,0,0,0,6.5,10.44,936.24,10.68,52871cd8-c451-4417-b658-135e85f7adb5,3,10
3830,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,10,1,1,0,10,0,0,0,0,0,0,5.15,9.04,1058.79,9.44,52871cd8-c451-4417-b658-135e85f7adb5,4,10
3831,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,10,1,1,0,10,0,0,0,0,0,0,4.62,8.68,1111.14,9,52871cd8-c451-4417-b658-135e85f7adb5,5,10
3832,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,10,1,1,20,10,0,0,0,0,0,0,119.43,236.07,42.32,236.31,52871cd8-c451-4417-b658-135e85f7adb5,1,10
3833,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,10,1,1,20,10,0,0,0,0,0,0,126.55,254.09,39.29,254.49,52871cd8-c451-4417-b658-135e85f7adb5,2,10
3834,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,10,1,1,20,10,0,0,0,0,0,0,132.1,258.94,38.56,259.36,52871cd8-c451-4417-b658-135e85f7adb5,3,10
3835,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,10,1,1,20,10,0,0,0,0,0,0,122.69,247.87,40.26,248.39,52871cd8-c451-4417-b658-135e85f7adb5,4,10
3836,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,10,1,1,20,10,0,0,0,0,0,0,136,284.37,35.1,284.89,52871cd8-c451-4417-b658-135e85f7adb5,5,10
3837,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,50,1,1,0,50,0,0,0,0,0,0,30.73,49.97,942.64,53.04,52871cd8-c451-4417-b658-135e85f7adb5,1,50
3838,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,50,1,1,0,50,0,0,0,0,0,0,22.63,39.41,1190.22,42.01,52871cd8-c451-4417-b658-135e85f7adb5,2,50
3839,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,50,1,1,0,50,0,0,0,0,0,0,21.82,38.97,1206,41.46,52871cd8-c451-4417-b658-135e85f7adb5,3,50
3840,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,50,1,1,0,50,0,0,0,0,0,0,22.14,38.87,1200.02,41.67,52871cd8-c451-4417-b658-135e85f7adb5,4,50
3841,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,50,1,1,0,50,0,0,0,0,0,0,22.16,66.85,713.01,70.13,52871cd8-c451-4417-b658-135e85f7adb5,5,50
3842,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,50,1,1,20,50,0,0,0,0,0,0,635.24,1237.97,38.71,1291.62,52871cd8-c451-4417-b658-135e85f7adb5,1,50
3843,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,50,1,1,20,50,0,0,0,0,0,0,665.78,1274.51,37.61,1329.59,52871cd8-c451-4417-b658-135e85f7adb5,2,50
3844,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,50,1,1,20,50,0,0,0,0,0,0,664.16,1259.94,37.95,1317.38,52871cd8-c451-4417-b658-135e85f7adb5,3,50
3845,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,50,1,1,20,50,0,0,0,0,0,0,685.84,1287.22,37.24,1342.58,52871cd8-c451-4417-b658-135e85f7adb5,4,50
3846,LOST_UPDATE,LOCKED,READ COMMITTED,NORMAL,50,1,1,20,50,0,0,0,0,0,0,659.58,1260.61,38.01,1315.42,52871cd8-c451-4417-b658-135e85f7adb5,5,50
3847,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,32,0,0,0,0,16.52,25.56,385.74,25.92,52871cd8-c451-4417-b658-135e85f7adb5,1,10
3848,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,21,0,0,0,0,9.41,16.51,591.8,16.9,52871cd8-c451-4417-b658-135e85f7adb5,2,10
3849,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,23,0,0,0,0,7.94,17.09,579.24,17.26,52871cd8-c451-4417-b658-135e85f7adb5,3,10
3850,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,23,0,0,0,0,6.55,17.73,557.9,17.92,52871cd8-c451-4417-b658-135e85f7adb5,4,10
3851,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,21,0,0,0,0,7.61,17.44,567.62,17.62,52871cd8-c451-4417-b658-135e85f7adb5,5,10
3852,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,45,0,0,0,0,130.09,263.3,37.94,263.61,52871cd8-c451-4417-b658-135e85f7adb5,1,10
3853,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,45,0,0,0,0,125.06,269.59,37.06,269.85,52871cd8-c451-4417-b658-135e85f7adb5,2,10
3854,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,45,0,0,0,0,140.88,269.52,37.06,269.84,52871cd8-c451-4417-b658-135e85f7adb5,3,10
3855,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,45,0,0,0,0,136.25,282.3,35.41,282.43,52871cd8-c451-4417-b658-135e85f7adb5,4,10
3856,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,45,0,0,0,0,138.71,280.46,35.63,280.68,52871cd8-c451-4417-b658-135e85f7adb5,5,10
3857,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,646,0,0,0,0,65.01,103.37,469.71,106.45,52871cd8-c451-4417-b658-135e85f7adb5,1,50
3858,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,565,0,0,0,0,44.79,80.32,577.04,86.65,52871cd8-c451-4417-b658-135e85f7adb5,2,50
3859,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,531,0,0,0,0,39.97,74.49,630.83,79.26,52871cd8-c451-4417-b658-135e85f7adb5,3,50
3860,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,542,0,0,0,0,42.74,74.3,639.72,78.16,52871cd8-c451-4417-b658-135e85f7adb5,4,50
3861,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,549,0,0,0,0,43.38,76.37,627.77,79.65,52871cd8-c451-4417-b658-135e85f7adb5,5,50
3862,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,1225,0,0,0,0,631.64,1237.9,38.51,1298.21,52871cd8-c451-4417-b658-135e85f7adb5,1,50
3863,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,1225,0,0,0,0,652.69,1295.84,36.7,1362.39,52871cd8-c451-4417-b658-135e85f7adb5,2,50
3864,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,1225,0,0,0,0,642.06,1257.7,37.98,1316.44,52871cd8-c451-4417-b658-135e85f7adb5,3,50
3865,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,1225,0,0,0,0,651.62,1266.71,37.73,1325.23,52871cd8-c451-4417-b658-135e85f7adb5,4,50
3866,LOST_UPDATE,CAS,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,1225,0,0,0,0,661.05,1291.87,36.97,1352.49,52871cd8-c451-4417-b658-135e85f7adb5,5,50
